"Notes"	"County"	"County Code"	Births
	"Baldwin County, AL"	"01003"	2157
	"Calhoun County, AL"	"01015"	1418
	"Etowah County, AL"	"01055"	1173
	"Jefferson County, AL"	"01073"	8916
	"Lee County, AL"	"01081"	1536
	"Madison County, AL"	"01089"	4150
	"Mobile County, AL"	"01097"	5623
	"Montgomery County, AL"	"01101"	3166
	"Morgan County, AL"	"01103"	1461
	"Shelby County, AL"	"01117"	2424
	"Tuscaloosa County, AL"	"01125"	2361
	"Unidentified Counties, AL"	"01999"	24969
	"Anchorage Borough, AK"	"02020"	4792
	"Unidentified Counties, AK"	"02999"	6664
	"Cochise County, AZ"	"04003"	1668
	"Coconino County, AZ"	"04005"	1777
	"Maricopa County, AZ"	"04013"	53467
	"Mohave County, AZ"	"04015"	2046
	"Pima County, AZ"	"04019"	11893
	"Pinal County, AZ"	"04021"	4611
	"Yavapai County, AZ"	"04025"	1835
	"Yuma County, AZ"	"04027"	3208
	"Unidentified Counties, AZ"	"04999"	5038
	"Benton County, AR"	"05007"	3340
	"Pulaski County, AR"	"05119"	5759
	"Sebastian County, AR"	"05131"	1799
	"Washington County, AR"	"05143"	3261
	"Unidentified Counties, AR"	"05999"	24556
	"Alameda County, CA"	"06001"	19003
	"Butte County, CA"	"06007"	2391
	"Contra Costa County, CA"	"06013"	12060
	"El Dorado County, CA"	"06017"	1630
	"Fresno County, CA"	"06019"	16160
	"Humboldt County, CA"	"06023"	1448
	"Imperial County, CA"	"06025"	3079
	"Kern County, CA"	"06029"	14287
	"Kings County, CA"	"06031"	2567
	"Los Angeles County, CA"	"06037"	130370
	"Madera County, CA"	"06039"	2401
	"Marin County, CA"	"06041"	2386
	"Merced County, CA"	"06047"	4280
	"Monterey County, CA"	"06053"	6812
	"Napa County, CA"	"06055"	1572
	"Orange County, CA"	"06059"	38101
	"Placer County, CA"	"06061"	3834
	"Riverside County, CA"	"06065"	30611
	"Sacramento County, CA"	"06067"	20002
	"San Bernardino County, CA"	"06071"	30566
	"San Diego County, CA"	"06073"	43643
	"San Francisco County, CA"	"06075"	8813
	"San Joaquin County, CA"	"06077"	10329
	"San Luis Obispo County, CA"	"06079"	2631
	"San Mateo County, CA"	"06081"	9048
	"Santa Barbara County, CA"	"06083"	5804
	"Santa Clara County, CA"	"06085"	23649
	"Santa Cruz County, CA"	"06087"	3233
	"Shasta County, CA"	"06089"	2022
	"Solano County, CA"	"06095"	5160
	"Sonoma County, CA"	"06097"	5150
	"Stanislaus County, CA"	"06099"	7738
	"Tulare County, CA"	"06107"	7966
	"Ventura County, CA"	"06111"	10656
	"Yolo County, CA"	"06113"	2341
	"Unidentified Counties, CA"	"06999"	10377
